date,kathas,venue_and_time,district,state,country,artists,organiser,updated_by,source_file
25-12-07,SUBHADRAHARANAM,"CHANGAMPUZHA PARK ,EDAPPALLY",ERNAKULAM,Kerala,India,"KALA.GOPI,KOTTAKKAL KESAVAN,KOTTAKKAL MADHU ,BABUNAMPOOTHIRI ,KALA.KESAVAN.ETC","KATHAKALI ASWADAKASADAS ,EDAPPALLY,9446058020",PDS NAMPOOTHIRI,archive2007.asp
25-12-07,Bali Vijayam,"KoyikkalTemple,ParapuramVellarapalli",Ernakulam,Kerala,India,"Fact Jayadev Varma, Kodungallur Nambisan Kutty, Kala. Srikandan Nair, Pattu - Kala. Rajendran, Sudheesh, Chenda - Kala. Raman Namboodiri, kala. Murali, Maddalam - Kala Sankara Wrrier, Chutti - Shilpi ",Koyikkal Temple,Srikumar K,archive2007.asp
25-12-07,1. Santhana Gopalam 2.Balivadham 3. Kiratham,"Chirakkarakkavu Bhagavathy Temple, Near Pala(Ramapuram Road, 5kms from Pala) 9pm",Kottayam,Kerala,India,1. SANTHANA GOPALAM BRAHMANAN - SRI. KOTTAKKAL CHANDRA SEKHARA WARRIOR ARJUNAN - SRI. FACT MOHANAN 2. BALI VADHAM BALI - SRI. KALAMANDALAM RAMACHANDRAN UNNITHAN SUGREEVAN - SRI. KOTTACKAL DEVADAS 3. K,0482 2 212002. DR. BALAKRISHNA KAIMAL,Dr Balakrishna Kaimal,archive2007.asp
24-12-07,Nalacharitham part-1,"Kalakshethra Auditorium, Thiruvanmiyoor, Chennai",Chennai,Chennai,India,"Sri.Madavoor Vasudevan Nair, Sadanam Balakrishnan , Kalakshethra Artists and guest artists from Sadanam Palakkad.","Chennai, Kalakshethra,",C.Ambujakshan Nair,archive2007.asp
23-12-07,kalakeya vadham,Ernakulam Kathakali Club. 6pm,ernakulam,Kerala,India,"Margi Vijayakumar(Urvashi), Thonnakkal Peethambaran(Arjuna), Pattu-- Kala Rajendran, Kalanilayam Rajeev",Ernakulam kathakali club,kalanilayam gopakumar,archive2007.asp
16-12-07,RUGMANGADACHARITHAM,"THRIKKAYIL TEMPLE ,EDAPPILLY",ERNAKULAM,Kerala,India,"KALA.GOPI.MARGI VIJAYAN ,PALANAD DIVAKARANETC","NSS KARAYOGAM,EDAPPALLY",PDS NAMPOOTHIRI,archive2007.asp
13-12-07,Poothanamoksham & Kiraatham,"Sree Poornathrayeesa Temple, Thripunithura. 12 midnight onwards.",Ernakulam,Kerala,India,Poothanamoksham Lalitha - Kalamandalam Shanmukhadas Kiraatham Arjunan - Dr.Narayanan Nambuthiri Kattallan - RV Sasikumar Kattallan Kalanilayam Sasi Shivan - RLV Pramodh,"Sree Poornathrayeesa Seva Sangam., Utsava Committ",Saran Varma,archive2007.asp
12-12-07,"RUGMINI SWAYAMVARAM , DURYODHANAVADHAM (Repeated but ok)",SRIPOORNATHRAYEESA TEMPLE,Eranakulam,Kerala,India,Kalamandalam Haridas [Rugmini];Kalamandalam Vasudevan [Sundara Bhramanan]; Sadanam Vijayan [Srikrishan]. Chengarappilli Anujan [Duryodhanan-1];R.L.V Rajasekharan [Dussasanan]; Unnikrishnan [Dharmaputh,,RAHUL VARMA B,archive2007.asp
12-12-07,Rugmani SwayamVaram & DuryodhanaVadham,"Sree Poornathrayeesa Temple, Thripunithura. 12 midnight onwards",Ernakulam,Kerala,India,Rugmani SwayamVaram: Rugmani - Kalamandalam Haridas Sundhara Bramhanan - Kalamandalam Vasudev Sreekrishnan - Sadanam Vijayan DuryodhanaVadham Duryodhanan-1 - Chengarapilli Anujan Dushasanan - RLV Raja,"Sree Poornathrayeesa Seva Sangam., Utsava Committ",Saran Varma,archive2007.asp
11-12-07,harischandracharitham,Arpookara sre subrahmanyasvami kshethram-8:30pm,kottayam,Kerala,India,"sadanam krishnankutty,kala:ramachandran unnithan,mathoor govindan kutty",,"mani,vaikom",archive2007.asp
11-12-07,Karna Sabadham and Daksayagam,"Sree Poornathrayeesa Temple, Thripunithura. 12 midnight onwards.",Ernakulam,Kerala,India,"Duriyodhanan -Parvathy Menon, Bhanumathy - Haripriya Namboodiri, Krnnan - Geetha Ramesh, Dussasanan - Gayathri, Kunthi- Lavanya Ajith. Dakhan - Suma Varma, Indran -Subhadra GopiKrishnan, Sivan - Ranji","Sree Poornathrayeesa Seva Sangam., Utsava Committ",Kiran Varma,archive2007.asp
10-12-07,Nalacharitham 2nd Divasam.,"Sree Poornathrayeesa Temple, Thripunithura. 12 midnight onwards.",Ernakulam,Kerala,India,"Nalan - Kottakkal Chandrsekhran, Damayanthi-RLV Radakrishnan,Kali-Kottakkal Devdas, Dwaparan-RLV Sunil, Indran and Kaala -RLV Sunil Pallipuram, Pushkaran -Kottakkal Kesavan Kundlayar, Kattalan-Kalaman",Sree Poornathrayeesa Seva Sangam.,Kiran Varma,archive2007.asp
09-12-07,santhanagopalam,chovvallpr near guruvayoor temple,thrissur,Kerala,India,singers kalamandalam n.n.kolathapalli kalamandalam sreejith,kalavaydi murali,kalamandalam sreejith.p.kumar,archive2007.asp
09-12-07,Bali Vadham,"Panchayathu Community Hall, Chennithala. Time: 06:30 PM",Alappuzha,Kerala,India,"Sri.Mathur Govindan Kutty, Thalavadi Aravindan, Kalamandalam Balakrishnan, Mozhoor Rajendra Gopinath, Natyasala Suresh, Gowreesapattam Gireesan, Kalamandalam Shanmughan and Madu Varanasi. (Vocal) Kala","Chennithala Chellappan Pillai Smaraka Samithi,",C.Ambujakshan Nair,archive2007.asp
09-12-07,Santanagopalam,Chovallur,,Kerala,India,,,KALANILAYAM GOPINATHAN,archive2007.asp
09-12-07,"Kuchela Vrittam, Kalyana Saugandhikam",Tripunithura Temple,Ernakulam,Kerala,India,"Nelliyodu Vasudevan Namboodiri (Kuchelan), Kottakal Sivaraman(Krishnan), Kalamandalam Krishnakumar(Bhiman), FACT Padmanabhn(Hanuman)",Utsava Committee,Srikumar,archive2007.asp
08-12-07,"Rukmangada Charitam, Ravana Vijayam",Tripunithura Temple,Ernakulam,Kerala,India,"Purappad Mithun Murali, Kalamandalam Gopi(Rukmangadan),Margi Vijayan(Mohini), Sri Unni Krishnan and Fact Biju(Brahmanar,Sandhyavali),kala Radha Krishnan(Dharmangadan),RLV Pramod(Vishnu)ala Srikumar(Ra",Utsava Committee,Srikumar,archive2007.asp
07-12-07,Santhanagopalam and Subhadraharaharanam,"2330 hours at Poornathrayeesa Temple, Thripoonithura",Ernakulam,Kerala,India,"Kalamandalam Ramankutty Nair,Sadanam Krishnan Kutty,RLV Rangan,Sadanam Vijayan, Venu shenoy,Kalamandalam balasubramanian,Kalamandalam Rajeevan",0484 2776655,K.Balakrishnan,archive2007.asp
07-12-07,Santanagopalam,Tripunithura Temple,Ernakulam,Kerala,India,"Kalmandalam Ramankutty Nair(Brahmana), Kalamandalam Balasubramaniam(Arjuna). Pattu - Kalanilayam Unnikrishnan",Utsava Committee,Srikumar,archive2007.asp
28-11-07,"Uttara Swayamvaram, Kiratam",Vaikom Siva Kshetram - 10pm,Kottayam,Kerala,India,"Purappadu- Sanjay Sivadas,Chitra. Sadanam Vijayan(Bhanumati),Kalabhavan Sunil(Karnan),Varanadu Sanal Kumar(Bhishmar),Arun Murthy(Shalyar),Sadanam Suresh(Dootan),Kottakkal Devadas(Trigarthan),Kala.Suni",Vaikathu Ashtami Celebration,kalanilayam gopakumar,archive2007.asp
28-11-07,"Utharasoyamvaram,Kiratham","Vaikom mahadeva kshethram,vaikoam,10:30pm",kottayam,Kerala,India,"vazenkita vijayan(durodhanan),sadanam suresh(duthan),kottakal devadas(thrigarthan),RLV rekhu(utharan),kala:gopalakrishnan(brihandala),sadanam krishnada(arjunan), RLV gopi(kattalan)/patu-kottakal naray","kerala kathakali senter,fort cochi.","Mani,Vaikom",archive2007.asp
27-11-07,"Kachadevayani,balivijayam(with Kamaladelam)","Vaikom mahadeva kshethram,vaikoam,10pm",kottayam,Kerala,India,"RLV gopi(sukracharyar),kottakal chandrasekhara variyar(kachan),FACT pathamanabhan(devayani),kala:gopalakrishnan(ravanan),kala:vijaya kumar(mandodhari),K.J vasu(naradan),sadanam krishnadas(bali), / pat","kerala kathakali senter,fort cochi.","Mani,Vaikom",archive2007.asp
25-11-07,Narakasura Vadham,Thrissur Kathakali Club,Thissur,Kerala,India,"Kottakkal Nandakumar (Narakasuran), Nalliyodu Vasudevan Namboodiri, Margi Vijayakumar, Pattu - Kala. Rajendran, Kala Jayaprakash",Thrissur Kathakali Club,K.Srikumar 09342882394,archive2007.asp
24-11-07,vishnu maya charitham,tripparayar temple,Thissur,Kerala,India,"Balaraman - Kala. Gopi, Krishnan - Kalanilayam Gopakumar, Naradan - Kottakkal Kesavan namboodiri, Pattu Kala. Rajendran, Narayanan Embranthiri. Chenda - Klanilayam Kunjunni, Maddalam - Kala. Haridas",Thripparayar Temple Utsava Committee,Kalanilayam Gopakumar,archive2007.asp
24-11-07,kuchela vritham,chaganpuzha park edappally 6pm,ernakulam,Kerala,India,"nelliyode vasudevan namboodiri, kala. balasubramaniam, kalanilayam gopakumar, pattu- kottakal madhu, rammohan,","kathali aswadaka sangham, edappally",Kalanilayam Gopakumar,archive2007.asp
23-11-07,"Nalacharitham 4amdivasam,Sethaswayamvaram,Prahladacharitham","Udayanapuram sre subrahmanyaswami kshethram,vaikoam",kottayam,Kerala,India,"kala:gopi(bahukan),kala:sivaraman(damayanthi),kala:sivadas,kottakal devadas(parasuraman),RLV gopi(sre raman),RLV rakhu(hiranya kasupu),sadanam krishnadas(narasimham) / patu-kottakal madhu,kala:babu na","kerala kathakali senter,fort cochi.","Mani,Vaikom",archive2007.asp
21-11-07,"rugmangathacharitham,utharasvyamvaram","kumaraneloor devi kshethram,9pm",kottayam,Kerala,India,"kala:gopi,margi vijayakumar,FACT mohanan,kudamaloor muralikrishnan,kala:bhagyanadh,nelliyodu vasudevan nabuthiri,kalakendram muralidharan nabuthiri,matoor govindankutty patu-kala:babu nabuthiri,kala:h","nalanunni smaraka kalakshethram,kidangoor.","mani,vaikom",archive2007.asp
20-11-07,"kirmeravadam,kiratam","kumaraneloor devi kshethram,9pm",kottayam,Kerala,India,"kala:kasinadh,kala:gopi,kala:prasanth,RLV jayachandran, kala:shanmukhan, panamitam soman,kala:ramachandran unnithan,kala:vijayan,kalakendram muralidharan nabuthiri, patu-pathiyoor sankarankutty,kala:b","nalanunni smaraka kalakshethram,kidangoor.","mani,vaikom",archive2007.asp
20-11-07,Poothanamoksham,"NSS karayogam hall, Chakkamkulangara, Thripunithura",Ernakulam,Kerala,India,"Kal.Krishna Prasad, Chengaraiplly Anujan,",Thripunithura Kathakali Kendram,K.R.Varma,archive2007.asp
19-11-07,Balivijayam,"Theerthapada Mandapam, East Fort | 6.30 PM",Thiruvananthapuram,Kerala,India,Performers: Sri. Kalamandalam Shanmukhadas (Ravanan) Sri. Chembakkara Vijayan (Mandothiri) Sri. Mathur Govindakutty (Naradan) Sri. Margi Suresh (Bali) Vocal: Sri. Kalamandalam Vinod Sri. Kalamandalam ,"Drisyavedi, Thiruvananthapuram",Haree,archive2007.asp
18-11-07,Saint Tyagaraja's 'Nauca Charitram'- Kathakali- aattakatha by Kalamandalam Kesavan,"Manavedan Auditorium,Trissala Bhagavathi Termple,Mankave Palace,Mankave Post",Calicut (Kozhikode),Kerala,India,FACT Jayadeva Varma Kalanilayam Gopala Krishnan Kalamandalam Sajan Kalakendram Pradeepan Kalakendram Muralidharan Nambootiri Original Musical Score: Kalamandalam Balachandran Lead Vocal Kalamandalam J,9847140063 or 0495-2330863,"Sangeetha Sabha,Mankave",archive2007.asp
18-11-07,Nalacharitham Moonnam Divasam,"Vivekodayam Boys' H.S.S, Thrissur, Discusions at 2 pm. Kali at 5.30 pm",Thrissur,Kerala,India,"Promising young artists Kala: Shanmughadas, Kala: Sucheendranath, Kala: Arun Warrier... Nedumbilli Ram Mohan, Rajesh Menon, Kala: Nandakumar, Hariharan",Vedika Thrissur,Jayan M V,archive2007.asp
10-11-07,Santhanagolam,"Cangampuzha Park, Edappally,",Ernakulam,Kerala,India,"Sadanam Krishnan Kutty(Arjunan), Kala. Keshavan Namboodiri(Brahmanan), Kalanilayam Gopalakrishnan (Krishnan), RLV Radhakrishnan(Brahmana Pathni), Kalanilayam Gopakumar(Vridha), Kala. Gangadharan, Kala",Edappally Kathakali Aswadaka Sadas,K.Srikumar,archive2007.asp
26-10-07,RAVANOLBHAVAM,SRI POORNATHRAYEESA TEMPLE 6PM,ERNAKULAM,Kerala,India,"SMT RENJINI SURESH,",SPONSORED BY RENJINY SURESH,RADHIKA AJAYAN,archive2007.asp
23-10-07,Nalacharitham 1st day,"Changampuzha Park, Edappally - 6pm",Ernakulam,Kerala,India,"Kotakkal Chandrashekharan, M.P.S. Namboodiri, Kala Shanmukha das,Chenda: Kala Krishna das,Pattu: Palanadu Divakaran",Edappally Kathakali Aswadaka Sadassu,K.Srikumar(Edappally),archive2007.asp
22-10-07,Darukavadham,"Margi, Fort, Thireuvananthapuram",Thiruvananthapuram,Kerala,India,"All artist presently staffs of Margi. Blasubramanian,Haroivatrsan,Inchakkat Ramachandran Pillai, Sukumaran, Peethambaran, Muraleedharan PIllai (Vesham) Krishnankutty, Nandakuamr, Damu, MOhanan (Pattu)",04712478806 www.margitheatre.org,Radhakrishnan. K,archive2007.asp
19-10-07,Kuchela Vrittam,"T.D.M.Hall, Ernakulam - 6pm",Ernakulam,Kerala,India,"Nelliyodu Vasudevan Namboodiri, Kala Balasubramanian, RLV Radhakrishnen, Rtheesan, Pattu: Kala Babu Namboodiri, Kala Harish Kumar, Chenda: Kala Raman Namboodiri, Maddalam : Kala Sasi",Ernakulam Kathakali Club,K.Srikumar (Edappally),archive2007.asp
14-10-07,"Thodayam, Shiva Sthuthi, Small part of Nalacharithm 1st day","Vinayaka Temple, Kalyan Nagar, Banaswadi, Bangalore",Bangalore,Karnataka,India,Probal Guptha,Sri Vinayaka Samskrithika Seva Trust,Shyam (Bangalore),archive2007.asp
14-10-07,BHEESHMA PRATIGNYA,"CHANDRA MANDALA, NO.1 ELLIOT'S BEACH ROAD, BESANT NAGAR, CHENNAI",CHENNAI,TAMIL NADU,India,"SADANAM BALAKRISHNAN, KALA. BALASUBRAMANIAN, KALA. MOHANAKRISHNAN, KALA. HARINARAYANAN, KALA. VINOD, KALA. ANEESH, KALA. MUKUNDAN,","KALASAGAR, KAVALAPPARA - RAJAN PODUVAL 09283109995",KALASAGAR. KAVALAPPARA,archive2007.asp
13-10-07,ARJUNA VISHADA VRUT-THAM,MELPATHUR AUDITORIUM -GURUVAYOOR SRI KRISHNA SWAMY TEMPLE,TRICHUR,Kerala,India,"ARJUNA- SRI KALAMANDALAM GOPI; KRISHNA: SRI KALAMANDALAM BALASUBRAHMANIAN; DUSSALA: SRI KALAMANDALAM RAJASEKHARAN: JAYADRADHAN: SRI KALAMANDALAM KRISHNA KUMAR PATTU: SRI PALANAT DIVAKARAN, SRI KOTTACK",,RAJASEKHAR.P.VAIKOM,archive2007.asp
10-10-07,Narakasuravadham,"Kasrthika Thirunal Theatre, Fort, Thiruvananthapuram",Thiruvananthapuram,Kerala,India,"Kala:Mukundan-Lalitha, Kal:Prasanth-Jayanthan,Indran, Kottackal Kesavan-Narakasuran, Kalanilayam Rajeevan-Kal:Sudheesh:Pattu, Sadanam Vasudevan-Kala: Krishnakumar:Chenda, Margi Ravindran-Margi Baby: M","Drisyavedi, Thiruvananthapuram",Radhakrishnan. k,archive2007.asp
27-09-07,Arjunavishadavrutham,"Karthika Hall, Kollam",Kollam,Kerala,India,"Jayadradhan - Sri. Ksrishnakumar Dussala - Sri. Kala. Rajasekharan Arjunan - Sri. Thonnackal Peethambaran Krishnan - Sri. Kala. Prasanth Pattu - Sri. Pathiyoor Sankarankutty, Sri. Kalanilayam Rajeev M",Kollam Kathakali Club,Anil Koothttukulam,archive2007.asp
13-05-07,"Lalitha Panchali, Geethopadesham","Trikkannapuram Temple Hall, Edappally. - 7 PM",Ernakulam,Kerala,India,"Fact Padmanabhan, Kalanilayam Gopalakrishnan, Swathi Jayadev Varma, Kala. Sankaranarayanan, Srikumar K, Pattu: Kala Balachandran, Kala Harish, Chenda: Kala Murali, Maddalam: Thiruvallamala Venkiti, Ch","Kshatriya Kshema Samithi, Edappally.",Srikumar (Edappally),archive2007.asp
14-04-07,Daksha Yagom,"Chakkumara sseri, Paravur",Ernakulam,Kerala,India,Major Set,Sree Kumara ganesha Mangalam,Aniappan(Parappuram),archive2007.asp
07-04-07,Santhana Gopalam,"Puthiyaddam Temple, 7.30PM",EKM,Kerala,India,"Yuva Kala Kendram, Trippunithura",,Aniappan(Parappuram),archive2007.asp
07-04-07,"Duryodhana Vadham, Kiratham",Karumallur 9.30pm,Ernakulam,Kerala,India,Major Set - Kottakkal Natya Sanghom,Thiruvalur Mahadeva Kshethram,Aniappan(Parappuram),archive2007.asp
31-03-07,"Santhana Gopalam, Naragasura vadham","Puthiyaddam Temple, 8.30PM",Ernakulam,Kerala,India,Major Set,Deshathu Pallipattu Kavu,Aniappan (Parappuram),archive2007.asp
30-03-07,not available,Angamali Vengir Sri Durga Devi Kshetram - 8 pm,Ernakulam,Kerala,India,Not Available,NOT AVAIL,Aniappan (Parappuram),archive2007.asp
04-04-04,"Nalacharitham 3rd day, Bali Vadham",Mahadeva Temple Aluva,Ernakulam,Kerala,India,Kottakkal troup.,,Hari the Midget,archive2007.asp
10-04-01,Kirmmeera Vadham ( Up to Akshaya Pathra Labdhi),THRISSUR,,Kerala,India,Eminent Artists,SRI KALA. PADMANABHAN NAIR SMARAKA TRUST,Sasi Kumar Venat,archive2007.asp
10-04-01,Kirmmeera Vadham ( Up to Akshaya Pathra Labdhi ),THRISSUR,,Kerala,India,,SRI KALA.PADMANABHAN NAIR SMARAKA TRUST,Sasi Kumar Venat,archive2007.asp
01-01-01,,,,Kerala,India,,,,archive2007.asp
01-01-00,Kathakali: Katha,"Sree Ramaswamy Temple, Karimbuzha",,Kerala,India,"KATHAKALI ""Viswamitran"" presented by P.S.V.Natyasangam, Kottakkal.",Jayadevan Nedumgadi: 9847052555,Jayadevan Nedumgadi,archive2007.asp
30-03-08,"Karna Sapadham, Duryodhana Vadham",Desham Palli pattu Kshetram - 10 PM,Ernakulam,Kerala,India,"Kalamandalam Troupe.........Kala. Balasubramanoan, Kala. Krishna Kumar etc",Temple Committee,Srikumar K,archive2008-1q.asp
30-03-08,Bakavadham,"Valakam, before Moovattupuzha",Ernakulam,Kerala,India,"Nelliyodu Vasudevan Namboodiri (Ashari), Chenda - Gopikrishnan Tampuran",Temple,Gopikrishnan,archive2008-1q.asp
29-03-08,"Nalacharitham 2nd Day , DuryodhanaVadham",Mavelikkara Sreekrishnaswamy Temple 9.30 pm,Alappuzha,Kerala,India,"Kottakkl Chandrasekharan,Kala Rejasekharan,Kala Ramachandran Unnithan,Kalanilayam Vijan,Kalamandalam Krishnaprasad Kalanilayam Unnikrishnan Nedumpully RamMohan Kalamandalam Krishnadas Kalabharathy Unn",Temple Commettie,Kala Sreekanth Varma,archive2008-1q.asp
29-03-08,Santhanagopalam,Pandalam Kaipuzha Sri Krishna Swami Kshetram 10 PM to 1 AM,Pathanamthitta,Kerala,India,"FACT Jayadeva Varma, Vijayakrishnan Unnithan, Kala. Krishna Prasad, RLV Rajasekharan, Kalanilayam Vinod, Pattu - Kala. Rajendran, Surendran, Chenda - Kalabharathi Unnikrishnan, Maddalam Kala. Achuta W",Temple Committee,Jayadev Varma,archive2008-1q.asp
29-03-08,"Butterflylovers(sunandaGunapalam), a chineselove story","Taipei city hall, 7.30 pm",taipei,,Taiwan,"Kalamandalam shiju, Kalamandalam Hari,Ranjith Tripunithura,Sadanam Mohan, Kalamandalam Sudheesh, Kalalamandalam Suresh, Sadanam Anil",. www.indianandworldmusic.net,kalamandalam shiju,archive2008-1q.asp
29-03-08,"SANTHANAGOPALAM, LAVANASURAVADHAM","Sri Rama Temple, Ramapuram, Pala",Kottayam,Kerala,India,"Kal Kesavan Nambudiri, Kalanilayam Gopinathan, Kal Vijaya Kumar, Kal Shanmughan,Tripunithura Unnikrishnan, Biju Bhaskar, Kottakkal Parameswaran Nambudiri, Kal Rajendran, Kalnilayam Rajeevan, Kal Raman",Temple Utsava Committe - Cont Renjith 9447161980,RENJITH R,archive2008-1q.asp
28-03-08,Kalyana Saugandhikam,"PUTHIYADAM Sri Krishna Kshetram, viaSri moolanagaram,Alwaye. 7.30 PM to11PM",Ernakulam,Kerala,India,"FACT Jayadev Varma, Kala. Sankaranaratanan, Pattu - Radhakrishnan, Chenda Kala. Murali, Maddalam Thiruvallamala Venkidi.",Temple Committe.,Jayadev Varma,archive2008-1q.asp
28-03-08,Krishnaleela,Sri Rama Temple Ramapuram Pala 7.30 pm,Kottayam,Kerala,India,"Kal Shanmughan, Kal Vijayakumar, Kal Rajeevan, Kal harish, Kal Rajesh Menon,Kal Srikumar, Kalanilayam Manoj etc",Renjith 09447161980,Renjith R,archive2008-1q.asp
27-03-08,"Santhanagopalam, Daksha Yagam",Sri Krishna Swamy Temple Ambalapuzha,Alappuzha,Kerala,India,"Kal Balasubramanian, KAl Sreekumar, Kal Ramachandran Unnitthan, Kal Vijayan, KAl Mukundan, Kal Babu Namboodiri, Kal Hareesh etc",Sandarsan Kathakali Vidyalayam Ambalapuzha,Renjith R,archive2008-1q.asp
27-03-08,"NALACHARITHAM 4 , DURYODHANA VADHAM","Manjummel Sri Krishna Swami Kshetram, Manjummel, Eloor",Ernakulam,Kerala,India,"Kala. Gopi, Madavur Vasudevan Nair, FACT Padmanabhan, Kala. Sreekumar, Nelliyodu Vasudevan Namboodiri, Kala. Rajasekharan, Elamakkara Ranjith, Kala. Vaishakh, FACT Biju, Pattu - Kalanilayam Unnikrishn",Temple Committee,Srikumar K,archive2008-1q.asp
26-03-08,Nalacharitham 3rd Day & Bakavadam,Sri Krishna Swamy Temple Ambalapuzha,Alappuzha,Kerala,India,"KAl Ramachandran Unnitthan, MArgi Vijaya Kumar, Kal Shanmughan, Kal Vijayan, KAl mukudan, Pathiyoor Sankarankutty, Kal Vinod, Kal Krishna Das, Kalanilayam Manoj etc",Sandarsan Kathakali Vidyalayam Ambalapuzha,Renith R,archive2008-1q.asp
24-03-08,Duryodhana vadham,"Sree Karthika thirunal Theatre, Thiruvananthapuram @ 6 PM",Thiruvananthapuram,Kerala,India,"Kala. Sreekumar(Duryodhanan), Margi Murali (Dussasanan), Kala. Rajeevan (Dharma puthrar), Margi Vijaya Kumar (Panchali), Margi Raveendran Pilla (Sakuni), Kala, Neeraj (Kutty Bheeman), Kottackal Ravi K",Drisyavedi,Jawaharji K,archive2008-1q.asp
23-03-08,Santhanagopalam,HMT Auditorium,Bangalore,Karnataka,India,Vellinezhi Kaliyogam,Namamyaham,C.M. Narayanan,archive2008-1q.asp
23-03-08,PRAHLADACHARITHAM,"CANGAMPUZHA PARK ,EDAPPALLY",ERNAKULAM,Kerala,India,"KALA.BALASUBRHMANIAN,KOTTAKAL DEVADAS,BIJUBHASKERetc,kala.gopalakrishnan,sudheesh,kala balaramanctc","kathakaly aswadakasadas,edappilly,9446058020",p d s nampoothiri,archive2008-1q.asp
